provider,Model Name,Capabilities 1,Capabilities 2,Capabilities 3,Capabilities 4
cohere,mistral/magistral-medium,Transparent stepwise,Logic math,Structured explanations,Error checking
meta,cohere/embed-v4.0,Text image,Cross-modal search,Classification vectors,Multilingual retrieval
cohere,meta/llama-3.2-11b,Mid-size vision-language,Charts tables,Image text,Grounded explanations
voyage,cohere/command-r-plus,Higher-accuracy long-context,RAG +,Complex multi-step,Enterprise dialogue
voyage,voyage/voyage-3.5-lite,Low-latency embeddings,Multilingual retrieval,Matryoshka dimensions,RAG search
voyage,voyage/voyage-code-2,Code-focused embeddings,Function snippet,Repository similarity,Semantic code
voyage,voyage/voyage-law-2,Legal-domain embeddings,Clause provision,Citation precedent,Cross-jurisdiction similarity
google,voyage/voyage-finance-2,Finance-domain embeddings,Ticker entity,Numeric-aware similarity,Report filing
voyage,google/text-multilingual-embedding-002,Multilingual embeddings,Cross-lingual alignment,Semantic search,Clustering across
voyage,voyage/voyage-3.5,SOTA general,Multilingual retrieval,Flexible dimensions,RAG-optimized similarity
voyage,voyage/voyage-code-3,Next-gen code,Improved snippet,Repo-level search,Code QA
meta,voyage/voyage-3-large,Top-tier retrieval,Multilingual general,Flexible vector,Long-context support
openai,meta/llama-3-8b,Open-source chat,Summarization rewrite,,Entry-level coding
meta,openai/gpt-3.5-turbo-instruct,Completion-style instruct,Data extraction,Rewrite editing,Lightweight coding
,meta/llama-3-70b,Strong instruction,Advanced,Code generation,Multilingual tasks
