Musarty DB ID,API,Model ID,Model Name,Provider,Context,Tags,Categories,Key Capabilities,Capabilities 1,Capabilities 2,Capabilities 3,Capabilities 4,Description,Logo Image url,Online,Idle,Ofline,UI Template ID,Use Case,Musarty ID,Template ID,API Endpoint URL
,AI Gateway,anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,Anthropic,200K,,,"Hybrid, Instant, Coding, Enterprise",Hybrid,Instant,Coding,Enterprise,"Anthropic’s first hybrid reasoning model, capable of near-instant answers or step-by-step “thinking” for tough problems – it set state-of-the-art coding performance and excels at complex tasks by integrating quick responses with deep reflection",,,,,,,anthropic/claude-3.7-sonnet,anthropic/claude-3.7-sonnet,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-5-nano,GPT-5 Nano,OpenAI,400K,,,"Throughput, Simple, Minimal, Cheap",Throughput,Simple,Minimal,Cheap,An ultra-compact GPT-5 variant optimized for throughput and simplicity – ideal for rapid handling of straightforward instructions or classification tasks at minimal cost and maximum speed.,,,,,,,openai/gpt-5-nano,openai/gpt-5-nano,https://gateway.ai.vercel.com/v1
,AI Gateway,deepseek/deepseek-v3.1,DeepSeek V3.1,DeepSeek,164K,,,"Long-context, Reasoning, Enhanced, Two-phase",Long-context,Reasoning,Enhanced,Two-phase,"A long-context optimized model built on DeepSeek V3, extended through a two-phase training on long documents to significantly improve reasoning over large contexts and complex multi-step tasks.",,,,,,,deepseek/deepseek-v3.1,deepseek/deepseek-v3.1,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-4o,GPT-4o,OpenAI,128K,,,"Expertise, Fast, Skilled, Optimized",Expertise,Fast,Skilled,Optimized,An optimized version of GPT-4 known for broad general knowledge and complex problem-solving; it matches GPT-4 Turbo’s performance on most tasks but offers faster responses and a cheaper API,,,,,,,openai/gpt-4o,openai/gpt-4o,https://gateway.ai.vercel.com/v1
,AI Gateway,moonshotai/kimi-k2-0905,Kimi K2 (0905),Moonshot AI,256K,,,"MoE, Coding, Agentic, Context",MoE,Coding,Agentic,Context,"An updated version of Moonshot’s trillion-parameter MoE model (32B active params) with enhanced coding abilities, advanced tool-using (agentic) capabilities, and a doubled context window (≈256K tokens) for processing very long inputs",,,,,,,moonshotai/kimi-k2-0905,moonshotai/kimi-k2-0905,https://gateway.ai.vercel.com/v1
,AI Gateway,moonshotai/kimi-k2,Kimi K2,Moonshot AI,131K,,,"MoE, Agentic, Coding, Frontier",MoE,Agentic,Coding,Frontier,"Moonshot AI’s state-of-the-art open-weight model featuring 32 billion active parameters (1 trillion total) in a Mixture-of-Experts architecture, excelling at agentic reasoning and coding tasks with frontier-level performance",,,,,,,moonshotai/kimi-k2,moonshotai/kimi-k2,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen3-coder,Qwen3 Coder,Alibaba,131K,,,"Coding, Agentic, Context, Multilingual",Coding,Agentic,Context,Multilingual,"Alibaba’s 480B-parameter coding specialist model, designed for ultra-efficient agentic code generation with a long context window and state-of-the-art performance in writing, debugging, and explaining code across multiple programming languages",,,,,,,alibaba/qwen3-coder,alibaba/qwen3-coder,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-opus-4.1,Claude Opus 4.1,Anthropic,200K,,,"Powerful, Reasoning, Coding, Multimodal",Powerful,Reasoning,Coding,Multimodal,"Anthropic’s latest flagship (Claude 4.1) and most capable model, setting new standards in complex reasoning and advanced coding tasks while accepting both text and image inputs within a 200K context",,,,,,,anthropic/claude-opus-4.1,anthropic/claude-opus-4.1,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-4o-mini,GPT-4o Mini,OpenAI,128K,,,"Small, Smart, Fast, Efficient",Small,Smart,Fast,Efficient,"OpenAI’s most advanced “small” model, capable of accepting text or image inputs and outperforming GPT-3.5-turbo in intelligence while matching its speed – a cost-efficient multimodal AI for versatile tasks",,,,,,,openai/gpt-4o-mini,openai/gpt-4o-mini,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-oss-120b,GPT-OSS 120B,OpenAI,131K,,,"Open-source, MoE, Reasoning, Agentic",Open-source,MoE,Reasoning,Agentic,"OpenAI’s flagship open-source 120B-parameter MoE model, matching or exceeding proprietary models (comparable to o4-mini) on many benchmarks. It offers strong long-context reasoning, state-of-the-art math/coding skills, and robust domain knowledge for advanced agents",,,,,,,openai/gpt-oss-120b,openai/gpt-oss-120b,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-code-fast-1,Grok Code Fast 1,xAI,256K,,,"Fast, Agentic, Context, Efficient",Fast,Agentic,Context,Efficient,"xAI’s latest coding model optimized for speed: it provides rapid, agent-like code generation and editing with a 256K token context window, enabling it to handle large codebases quickly.",,,,,,,xai/grok-code-fast-1,xai/grok-code-fast-1,https://gateway.ai.vercel.com/v1
,AI Gateway,stealth/sonoma-sky-alpha,Sonoma Sky Alpha,Stealth AI,2M,,,"Intelligence, Context, Multimodal, Tools",Intelligence,Context,Multimodal,Tools,"A cutting-edge general-purpose model (in stealth testing) featuring a massive 2 million-token context window, support for image inputs, and parallel tool-calling – though currently user prompts may be retained for provider training during this stealth period",,,,,,,stealth/sonoma-sky-alpha,stealth/sonoma-sky-alpha,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,Anthropic,200K,,,"Smart, Fast, Vision, Enterprise",Smart,Fast,Vision,Enterprise,"An intelligent mid-tier model that raised the industry bar – Claude 3.5 Sonnet outperforms Claude 3 Opus and competitors on many evals while operating at 2× the speed, with strong reasoning (GPQA, MMLU) and coding skill and even state-of-the-art vision understanding for charts and graphs",,,,,,,anthropic/claude-3.5-sonnet,anthropic/claude-3.5-sonnet,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-2.0-flash-lite,Gemini 2.0 Flash-Lite,Google DeepMind,1M,,,"Fast, Cheap, Quality, Context",Fast,Cheap,Quality,Context,"The fastest and most cost-efficient model in the Gemini 2.0 family – Flash-Lite offers improved output quality at the same price and speed as the earlier 1.5 Flash, making it an ideal upgrade for latency-critical applications",,,,,,,google/gemini-2.0-flash-lite,google/gemini-2.0-flash-lite,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3-mini,Grok 3 Mini,xAI,131K,,,"Lightweight, Reasoning, Logic, Transparent",Lightweight,Reasoning,Logic,Transparent,"xAI’s compact model that “thinks before responding” by generating internal reasoning. It handles simple and logic-focused tasks efficiently, and even exposes its raw chain-of-thought traces for transparency in decision-making",,,,,,,xai/grok-3-mini,xai/grok-3-mini,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-4,Grok 4,xAI,256K,,,"Flagship, Performance, Math, All-rounder",Flagship,Performance,Math,All-rounder,"xAI’s newest flagship model, delivering unparalleled performance across natural language understanding, mathematical problem-solving, and complex reasoning – a true jack-of-all-trades at the frontier of AI capabilities",,,,,,,xai/grok-4,xai/grok-4,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3,Grok 3,xAI,131K,,,"Enterprise, Domain, Coding, Summarization",Enterprise,Domain,Coding,Summarization,"The previous xAI flagship, known for excelling in enterprise use cases – Grok 3 can extract data, write code, and summarize text with deep domain expertise in areas like finance, healthcare, law, and science",,,,,,,xai/grok-3,xai/grok-3,https://gateway.ai.vercel.com/v1
,AI Gateway,perplexity/sonar,Perplexity Sonar,Perplexity AI,127K,,,"Search, Lightweight, Fast, Cheap",Search,Lightweight,Fast,Cheap,"Perplexity’s lightweight language model with built-in web search grounding. It provides quick, factual answers using real-time search results, and is designed to be faster and cheaper than the Pro variant for everyday queries",,,,,,,perplexity/sonar,perplexity/sonar,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3.5-haiku,Claude 3.5 Haiku,Anthropic,200K,,,"Fast, Enterprise, Long-prompt, Cheap",Fast,Enterprise,Long-prompt,Cheap,The next generation of Anthropic’s fastest model – Claude 3.5 Haiku matches Claude 3 Haiku’s near-instant speed while improving across all skills. It’s built for enterprise workloads involving long documents (e.g. analyzing filings or contracts) at half the cost of similarly skilled models,,,,,,,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/codestral-embed,Codestral-Embed,Mistral AI,N/A,,,"Code, Database, Search, Developer",Code,Database,Search,Developer,A specialized model for embedding source code – ideal for indexing code repositories and powering code search or code-aware assistants. It generates high-quality vector representations of code structures to enable semantic code queries.,,,,,,,mistral/codestral-embed,mistral/codestral-embed,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3-fast,Grok 3 Fast,xAI,131K,,,"Fast, Enterprise, Speed, Premium",Fast,Enterprise,Speed,Premium,"A speed-optimized deployment of Grok 3 on faster infrastructure. It provides significantly faster response times than standard Grok 3 while maintaining the model’s strong reasoning, coding, and multi-domain expertise (at a somewhat higher token cost)",,,,,,,xai/grok-3-fast,xai/grok-3-fast,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-2-vision,Grok 2 Vision,xAI,33K,,,"Visual, Math, Documents, Understanding",Visual,Math,Documents,Understanding,"A vision-augmented language model from xAI that excels at tasks combining images and text. Grok 2 Vision achieves state-of-the-art results on visual math problems (e.g. MathVista) and document question answering, handling diverse inputs like diagrams, charts, and photographs",,,,,,,xai/grok-2-vision,xai/grok-2-vision,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-embedding-001,Gemini Embedding 001,Google DeepMind,N/A,,,"Embeddings, Multilingual, Code, High-dimensional",Embeddings,Multilingual,Code,High-dimensional,"A state-of-the-art embedding model from Google’s Gemini family, delivering excellent performance on English, multilingual, and code tasks. It produces high-quality vector embeddings suitable for semantic search, clustering, and retrieval.",,,,,,,google/gemini-embedding-001,google/gemini-embedding-001,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/mistral-small,Mistral Small,Mistral AI,32K,,,"Bulk, Efficient, Classification, Affordable",Bulk,Efficient,Classification,Affordable,"An ideal model for simple, high-volume tasks (like text classification, customer support answers, or basic text generation). Mistral Small delivers excellent performance for its size at a very affordable price point, enabling scalable use cases",,,,,,,mistral/mistral-small,mistral/mistral-small,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/codestral,Mistral Codestral,Mistral AI,256K,,,"Code, Low-latency, Languages, Fill-in",Code,Low-latency,Languages,Fill-in,"A state-of-the-art 25B coding model optimized for low-latency, high-frequency use. Mistral Codestral is proficient in over 80 programming languages and excels at tasks like fill-in-the-middle code completion, code correction, and unit test generation",,,,,,,mistral/codestral,mistral/codestral,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-2.5-flash-image-preview,Gemini 2.5 Flash Image Preview,Google DeepMind,1M,,,"Hybrid, Conversational, Editing, Interleaved",Hybrid,Conversational,Editing,Interleaved,"An experimental Gemini 2.5 model enabling hybrid reasoning and image generation. It can produce interleaved text and images and supports multi-turn conversational image editing in natural language, with cultural and linguistic awareness for image outputs",,,,,,,google/gemini-2.5-flash-image-preview,google/gemini-2.5-flash-image-preview,https://gateway.ai.vercel.com/v1
,AI Gateway,zai/glm-4.5-air,GLM-4.5-Air,ZAI,128K,,,"MoE, Flagship, Streamlined, Agent",MoE,Flagship,Streamlined,Agent,"A streamlined flagship MoE model from Zhipu/ZAI (106B total, 12B active parameters) optimized for agent-oriented applications. GLM-4.5-Air achieves high performance through efficient architecture, balancing large-scale reasoning with a more compact active parameter set",,,,,,,zai/glm-4.5-air,zai/glm-4.5-air,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen-3-235b,Qwen3-235B,Alibaba,262K,,,"MoE, Math, Logic, Context",MoE,Math,Logic,Context,"A 235B-parameter MoE model from Alibaba’s Qwen series, designed with advanced mathematical and logical reasoning capabilities. It features an extremely long context window (~262K tokens) to handle complex, extended tasks in domains like math and science.",,,,,,,alibaba/qwen-3-235b,alibaba/qwen-3-235b,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/text-embedding-ada-002,Text Embedding ADA-002,OpenAI,N/A,,,"Legacy, Similarity, Versatile, Used",Legacy,Similarity,Versatile,Used,"OpenAI’s earlier generation text embedding model (Ada 002) which has been widely used for tasks like semantic search and clustering. It provides decent performance for English text at a moderate cost, and remains available on multiple platforms as a legacy option.",,,,,,,openai/text-embedding-ada-002,openai/text-embedding-ada-002,https://gateway.ai.vercel.com/v1
,AI Gateway,deepseek/deepseek-r1,DeepSeek R1,DeepSeek,160K,,,"Reasoning, Accuracy, Transparent, Agent",Reasoning,Accuracy,Transparent,Agent,"DeepSeek’s specialized reasoning model that uses chain-of-thought (CoT) prompting to boost accuracy. It generates detailed intermediate reasoning steps (viewable via API) before delivering final answers, enabling users to audit and leverage its thought process for better results",,,,,,,deepseek/deepseek-r1,deepseek/deepseek-r1,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3-haiku,Claude 3 Haiku,Anthropic,200K,,,"Fast, Instant, Speed, Affordable",Fast,Instant,Speed,Affordable,"Anthropic’s Claude 3 Haiku is the fastest model of the Claude 3 family, often delivering near-instant responses. It’s ~3× faster than its peers, processing ~21K tokens per second, and is priced to quickly analyze large documents (hundreds of pages) at roughly half the cost of other models in its tier",,,,,,,anthropic/claude-3-haiku,anthropic/claude-3-haiku,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3-mini-fast,Grok 3 Mini Fast,xAI,131K,,,"Mini, Logic, Throughput, Cost",Mini,Logic,Throughput,Cost,"A latency-optimized version of Grok 3 Mini deployed on faster servers. It retains the original’s logic-oriented thinking approach but provides significantly faster responses, useful for real-time simple Q&A or logic tasks (with a small cost trade-off)",,,,,,,xai/grok-3-mini-fast,xai/grok-3-mini-fast,https://gateway.ai.vercel.com/v1
,AI Gateway,morph/morph-v3-large,Morph V3 Large,Morph AI,82K,,,"Code, Auto-implement, Speed, IO",Code,Auto-implement,Speed,IO,"A specialized AI model that applies code changes suggested by top-tier models (like GPT-4 or Claude) directly to code files at extremely high speed (~2500+ tokens/sec). Morph v3 Large acts as the final step in AI coding workflows, supporting 16k token inputs and 16k token outputs",,,,,,,morph/morph-v3-large,morph/morph-v3-large,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen-3-30b,Qwen3-30B,Alibaba,41K,,,"Advanced, Reasoning, Multilingual, Instruction",Advanced,Reasoning,Multilingual,Instruction,"A 30B model in Alibaba’s Qwen3 lineup that offers state-of-the-art reasoning, instruction following, agentic capabilities, and multilingual support. Built on extensive training and MoE techniques, Qwen3-30B pushes forward the performance of midsize open models",,,,,,,alibaba/qwen-3-30b,alibaba/qwen-3-30b,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemma-2-9b,Gemma 2 9B,Google,8K,,,"Open-source, Parameters, Inference, Efficient",Open-source,Parameters,Inference,Efficient,"An open-source 9B-parameter model from Google fine-tuned for chat. Gemma-2 is served on custom Groq LPUs for fast, efficient inference, making it a practical choice for applications needing quick responses from a mid-sized model.",,,,,,,google/gemma-2-9b,google/gemma-2-9b,https://gateway.ai.vercel.com/v1
,AI Gateway,morph/morph-v3-fast,Morph V3 Fast,Morph AI,82K,,,"Code, Real-time, IO, Throughput",Code,Real-time,IO,Throughput,"A speed-enhanced variant of Morph’s code-applier model, capable of applying code edits at ~4500+ tokens/second. Morph v3 Fast can handle 16k token inputs/outputs and is designed for real-time codebase modifications in development workflows",,,,,,,morph/morph-v3-fast,morph/morph-v3-fast,https://gateway.ai.vercel.com/v1
,AI Gateway,amazon/nova-micro,Nova Micro,Amazon,128K,,,"Text, Latency, Cost, Throughput",Text,Latency,Cost,Throughput,"A lightweight text-only model from Amazon’s Nova family that delivers extremely low-latency responses at very low cost. Nova Micro is suited for high-volume, simple Q&A or routing tasks where speed and cost are paramount.",,,,,,,amazon/nova-micro,amazon/nova-micro,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-4-turbo,GPT-4 Turbo (128k),OpenAI,128K,,,"Knowledge, Accuracy, Context, Vision",Knowledge,Accuracy,Context,Vision,"OpenAI’s high-performance GPT-4 variant with a 128,000 token context window. It possesses broad general knowledge and domain expertise, follows complex instructions accurately, and accepts image inputs in addition to text",,,,,,,openai/gpt-4-turbo,openai/gpt-4-turbo,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/mistral-embed,Mistral Embed,Mistral AI,N/A,,,"Embeddings, Search, Clustering, RAG",Embeddings,Search,Clustering,RAG,"A general-purpose text embedding model from Mistral, suitable for tasks like semantic search, similarity matching, clustering, and retrieval-augmented generation. It produces dense vector embeddings for a wide range of text inputs",,,,,,,mistral/mistral-embed,mistral/mistral-embed,https://gateway.ai.vercel.com/v1
,AI Gateway,amazon/titan-embed-text-v2,Titan Text Embed V2,Amazon,N/A,,,"Efficient, Lightweight, Dimensions, Cost",Efficient,Lightweight,Dimensions,Cost,"Amazon’s Titan Embeddings V2 model generates efficient multilingual text embeddings. It supports multiple embedding dimensionalities (e.g. 1024, 512, 256) and is optimized for low-cost, large-scale use in search and recommendation systems",,,,,,,amazon/titan-embed-text-v2,amazon/titan-embed-text-v2,https://gateway.ai.vercel.com/v1
,AI Gateway,deepseek/deepseek-r1-distill-llama-70b,DeepSeek R1 Distill (70B),DeepSeek,128K,,,"Distilled, Reinforcement, Multilingual, Stable",Distilled,Reinforcement,Multilingual,Stable,"A distilled version of DeepSeek R1 built on a Llama-70B foundation. It retains strong math, coding, and complex reasoning performance while offering improved stability, readability, and multilingual handling compared to earlier versions, making it a more efficient alternative to the full R1",,,,,,,deepseek/deepseek-r1-distill-llama-70b,deepseek/deepseek-r1-distill-llama-70b,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/ministral-3b,Ministral 3B,Mistral AI,128K,,,"Compact, On-device, Latency, Efficient",Compact,On-device,Latency,Efficient,A 3B-parameter compact model (“Ministral”) optimized for on-device applications like smart assistants and local analytics. It offers low-latency performance for basic reasoning tasks in resource-constrained environments,,,,,,,mistral/ministral-3b,mistral/ministral-3b,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen-3-32b,Qwen3-32B,Alibaba,128K,,,"MoE, Tool-use, Reasoning, Production",MoE,Tool-use,Reasoning,Production,"Qwen3-32B is a world-class 32B model that Alibaba touts as comparable to top frontier models. It excels in code generation, tool calling, and advanced reasoning, making it a strong choice for a wide range of production use cases",,,,,,,alibaba/qwen-3-32b,alibaba/qwen-3-32b,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/mistral-large,Mistral Large,Mistral AI,32K,,,"Complex, Reasoning, Code, Agent",Complex,Reasoning,Code,Agent,"Mistral’s large model, ideal for complex tasks requiring substantial reasoning ability or domain specialization. Mistral Large shines in applications like synthetic text generation, code generation, retrieval-augmented generation (RAG), and powering agentic systems",,,,,,,mistral/mistral-large,mistral/mistral-large,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/magistral-small,Magistral Small,Mistral AI,128K,,,"Reasoning, Transparent, Multilingual, Verification",Reasoning,Transparent,Multilingual,Verification,"A model focused on complex, high-fidelity reasoning with transparency. Magistral Small provides detailed chain-of-thought that can be followed and verified, and it excels at maintaining rigorous reasoning across multiple languages, even mid-conversation",,,,,,,mistral/magistral-small,mistral/magistral-small,https://gateway.ai.vercel.com/v1
,AI Gateway,cohere/command-a,Command A,Cohere,256K,,,"Top-tier, Tools, RAG, Multilingual",Top-tier,Tools,RAG,Multilingual,"Cohere’s most powerful model, excelling at tool usage, agentic tasks, and retrieval-augmented generation. Command A supports a 256K context and is 150% higher throughput than the previous Command models, making it ideal for demanding production use cases",,,,,,,cohere/command-a,cohere/command-a,https://gateway.ai.vercel.com/v1
,AI Gateway,deepseek/deepseek-v3.1-base,DeepSeek V3.1 Base,DeepSeek,128K,,,"Improved, Stability, Enhanced, Foundation",Improved,Stability,Enhanced,Foundation,"The improved base model of the DeepSeek V3.1 series. It builds upon the original DeepSeek V3 with optimizations and serves as a robust foundation for further post-training (like the “thinking” variant), offering enhanced stability and reasoning out of the box.",,,,,,,deepseek/deepseek-v3.1-base,deepseek/deepseek-v3.1-base,https://gateway.ai.vercel.com/v1
,AI Gateway,amazon/nova-lite,Nova Lite,Amazon,300K,,,"Multimodal, Fast, Support, Throughput",Multimodal,Fast,Support,Throughput,"A very low-cost multimodal model from Amazon’s Bedrock offering, capable of processing text, image, and even video inputs with lightning-fast speed. Nova Lite is designed for handling large volumes of multimedia data quickly while keeping inference costs extremely low",,,,,,,amazon/nova-lite,amazon/nova-lite,https://gateway.ai.vercel.com/v1
,AI Gateway,zai/glm-4.5v,GLM-4.5V,ZAI,66K,,,"Vision, MoE, Techniques, Reasoning",Vision,MoE,Techniques,Reasoning,"Built atop GLM-4.5-Air, GLM-4.5V integrates vision-oriented “thinking” strategies (from GLM-4.1V) into a powerful 106B-parameter MoE architecture. It achieves advanced multi-modal reasoning performance via effective scaling and proven techniques",,,,,,,zai/glm-4.5v,zai/glm-4.5v,https://gateway.ai.vercel.com/v1
,AI Gateway,perplexity/sonar-reasoning,Sonar Reasoning,Perplexity AI,127K,,,"Answers, Explanations, Grounded, Analytical",Answers,Explanations,Grounded,Analytical,"A reasoning-focused version of Perplexity’s model that outputs explicit chains-of-thought in its responses. Sonar-Reasoning provides detailed step-by-step explanations grounded with web search, enhancing transparency and depth in answers",,,,,,,perplexity/sonar-reasoning,perplexity/sonar-reasoning,https://gateway.ai.vercel.com/v1
,AI Gateway,meta/llama-3.2-1b,Llama 3.2 1B,Meta,128K,,,"Tiny, Multilingual, Summarization, Rewriting",Tiny,Multilingual,Summarization,Rewriting,"A 1B parameter text-only Llama model geared for on-device and local deployments. It supports tasks like multilingual knowledge retrieval, summarization, and text rewriting on resource-constrained devices, trading off some power for extreme efficiency",,,,,,,meta/llama-3.2-1b,meta/llama-3.2-1b,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/pixtral-large,Pixtral Large,Mistral AI,128K,,,"Multimodal, Documents, Charts, Text",Multimodal,Documents,Charts,Text,"The second model in Mistral’s multimodal “Pixtral” family, achieving frontier-level image understanding. Pixtral Large can comprehend complex documents, charts, and natural images while retaining the leading text understanding capabilities of Mistral’s Large models",,,,,,,mistral/pixtral-large,mistral/pixtral-large,https://gateway.ai.vercel.com/v1
,AI Gateway,perplexity/sonar-reasoning-pro,Sonar Reasoning Pro,Perplexity AI,127K,,,"Premium, Search, Answers, Reasoning",Premium,Search,Answers,Reasoning,"An upgraded version of Sonar Reasoning that provides even more comprehensive chain-of-thought explanations. Sonar-Reasoning Pro can perform multiple web searches per query for richer, more detailed answers and is aimed at the most demanding analytical queries",,,,,,,perplexity/sonar-reasoning-pro,perplexity/sonar-reasoning-pro,https://gateway.ai.vercel.com/v1
,AI Gateway,mistral/mixtral-8x22b-instruct,Mixtral 8×22B Instruct,Mistral AI,66K,,,"MoE, Instruction, Open-source, Fireworks",MoE,Instruction,Open-source,Fireworks,"A mixture-of-experts model comprising 8 experts of 22B parameters each, fine-tuned for instructions. Mixtral-8×22B demonstrates Mistral’s open-source MoE approach, delivering strong performance on instruction-following tasks and deployed on the Fireworks platform for broad access",,,,,,,mistral/mixtral-8x22b-instruct,mistral/mixtral-8x22b-instruct,https://gateway.ai.vercel.com/v1
