id,provider,model,category,description,context,input_per_m,output_per_m,cache_read_per_m,cache_write_per_m,available_providers,context_tokens
google/gemma-2-9b,google,gemma-2-9b,General / Reasoning,9 billion parameter open source model by Google fine-tuned for chat purposes. Served by Groq with their custom Language Processing Units (LPUs) hardware to provide fast and efficient inference.,8K,0.2,0.2,,,1,8000
morph/morph-v3-fast,morph,morph-v3-fast,Coding / Code-Assist,Morph offers a specialized AI model that applies code changes suggested by frontier models (like Claude or GPT-4o) to your existing code files FAST - 4500+ tokens/second. It acts as the final step in the AI coding workflow. Supports 16k input tokens and 16k output tokens.,82K,0.8,1.2,,,1,82000
amazon/nova-micro,amazon,nova-micro,General / Reasoning,A text-only model that delivers the lowest latency responses at very low cost.,128K,0.04,0.14,,,1,128000
openai/gpt-4-turbo,openai,gpt-4-turbo,General / Reasoning,"gpt-4-turbo from OpenAI has broad general knowledge and domain expertise allowing it to follow complex instructions in natural language and solve difficult problems accurately. It has a knowledge cutoff of April 2023 and a 128,000 token context window.",128K,10.0,30.0,,,1,128000
mistral/mistral-embed,mistral,mistral-embed,Embedding,"General-purpose text embedding model for semantic search, similarity, clustering, and RAG workflows. Input Tokens $0.10/M mistral logo Available on 1 provider amazon logo",,0.1,,,,1,
amazon/titan-embed-text-v2,amazon,titan-embed-text-v2,Embedding,"Amazon Titan Text Embeddings V2 is a light weight, efficient multilingual embedding model supporting 1024, 512, and 256 dimensions. Input Tokens $0.02/M bedrock logo Available on 1 provider deepseek logo",,0.02,,,,1,
deepseek/deepseek-r1-distill-llama-70b,deepseek,deepseek-r1-distill-llama-70b,General / Reasoning,"DeepSeek-R1 is a state-of-the-art reasoning model trained with reinforcement learning and cold-start data, delivering strong performance across math, code, and complex reasoning tasks. It offers improved stability, readability, and multilingual handling compared to earlier versions, and is available alongside several high-quality distilled variants.",128K,0.75,0.99,,,2,128000
mistral/ministral-3b,mistral,ministral-3b,General / Reasoning,"A compact, efficient model for on-device tasks like smart assistants and local analytics, offering low-latency performance.",128K,0.04,0.04,,,1,128000
alibaba/qwen-3-32b,alibaba,qwen-3-32b,General / Reasoning,"Qwen3-32B is a world-class model with comparable quality to DeepSeek R1 while outperforming GPT-4.1 and Claude Sonnet 3.7. It excels in code-gen, tool-calling, and advanced reasoning, making it an exceptional model for a wide range of production use cases.",128K,0.1,0.3,,,4,128000
mistral/mistral-large,mistral,mistral-large,General / Reasoning,"Mistral Large is ideal for complex tasks that require large reasoning capabilities or are highly specialized - like Synthetic Text Generation, Code Generation, RAG, or Agents.",32K,2.0,6.0,,,1,32000
mistral/magistral-small,mistral,magistral-small,General / Reasoning,"Complex thinking, backed by deep understanding, with transparent reasoning you can follow and verify. The model excels in maintaining high-fidelity reasoning across numerous languages, even when switching between languages mid-task.",128K,0.5,1.5,,,1,128000
cohere/command-a,cohere,command-a,General / Reasoning,"Command A is Cohere's most performant model to date, excelling at tool use, agents, retrieval augmented generation (RAG), and multilingual use cases. Command A has a context length of 256K, only requires two GPUs to run, and has 150% higher throughput compared to Command R+ 08-2024.",256K,2.5,10.0,,,1,256000
deepseek/deepseek-v3.1-base,deepseek,deepseek-v3.1-base,General / Reasoning,DeepSeek V3.1 Base is an improved version of the DeepSeek V3 model.,128K,0.2,0.8,,,1,128000
amazon/nova-lite,amazon,nova-lite,General / Reasoning,"A very low cost multimodal model that is lightning fast for processing image, video, and text inputs.",300K,0.06,0.24,,,1,300000
zai/glm-4.5v,zai,glm-4.5v,General / Reasoning,"Built on the GLM-4.5-Air base model, GLM-4.5V inherits proven techniques from GLM-4.1V-Thinking while achieving effective scaling through a powerful 106B-parameter MoE architecture.",66K,0.6,1.8,,,2,66000
perplexity/sonar-reasoning,perplexity,sonar-reasoning,General / Reasoning,"A reasoning-focused model that outputs Chain of Thought (CoT) in responses, providing detailed explanations with search grounding.",127K,1.0,5.0,,,1,127000
meta/llama-3.2-1b,meta,llama-3.2-1b,General / Reasoning,"Text-only model, supporting on-device use cases such as multilingual local knowledge retrieval, summarization, and rewriting.",128K,0.1,0.1,,,1,128000
mistral/pixtral-large,mistral,pixtral-large,General / Reasoning,"Pixtral Large is the second model in our multimodal family and demonstrates frontier-level image understanding. Particularly, the model is able to understand documents, charts and natural images, while maintaining the leading text-only understanding of Mistral Large 2.",128K,2.0,6.0,,,1,128000
perplexity/sonar-reasoning-pro,perplexity,sonar-reasoning-pro,General / Reasoning,"A premium reasoning-focused model that outputs Chain of Thought (CoT) in responses, providing comprehensive explanations with enhanced search capabilities and multiple search queries per request.",127K,2.0,8.0,,,1,127000
mistral/mixtral-8x22b-instruct,mistral,mixtral-8x22b-instruct,General / Reasoning,8x22b Instruct model. 8x22b is mixture-of-experts open source model by Mistral served by Fireworks.,66K,1.2,1.2,,,1,66000
meta/llama-3.2-3b,meta,llama-3.2-3b,General / Reasoning,"Text-only model, fine-tuned for supporting on-device use cases such as multilingual local knowledge retrieval, summarization, and rewriting.",128K,0.15,0.15,,,1,128000
mistral/devstral-small,mistral,devstral-small,Coding / Code-Assist,"Devstral is an agentic LLM for software engineering tasks built under a collaboration between Mistral AI and All Hands AI 🙌. Devstral excels at using tools to explore codebases, editing multiple files and power software engineering agents.",128K,0.1,0.3,,,1,128000
mistral/mistral-medium,mistral,mistral-medium,General / Reasoning,"Mistral Medium 3 delivers frontier performance while being an order of magnitude less expensive. For instance, the model performs at or above 90% of Claude Sonnet 3.7 on benchmarks across the board at a significantly lower cost.",128K,0.4,2.0,,,1,128000
openai/o1,openai,o1,General / Reasoning,"o1 is OpenAI's flagship reasoning model, designed for complex problems that require deep thinking. It provides strong reasoning capabilities with improved accuracy for complex multi-step tasks.",200K,15.0,60.0,7.5,,2,200000
mistral/ministral-8b,mistral,ministral-8b,General / Reasoning,"A more powerful model with faster, memory-efficient inference, ideal for complex workflows and demanding edge applications.",128K,0.1,0.1,,,1,128000
meta/llama-3.2-90b,meta,llama-3.2-90b,General / Reasoning,"Instruction-tuned image reasoning generative model (text + images in / text out) optimized for visual recognition, image reasoning, captioning and answering general questions about the image.",128K,0.72,0.72,,,1,128000
meta/llama-3.1-70b,meta,llama-3.1-70b,General / Reasoning,"An update to Meta Llama 3 70B Instruct that includes an expanded 128K context length, multilinguality and improved reasoning capabilities.",128K,0.72,0.72,,,1,128000
inception/mercury-coder-small,inception,mercury-coder-small,Coding / Code-Assist,"Mercury Coder Small is ideal for code generation, debugging, and refactoring tasks with minimal latency.",32K,0.25,1.0,,,1,32000
google/text-embedding-005,google,text-embedding-005,Embedding,English-focused text embedding model optimized for code and English language tasks. Input Tokens $0.03/M vertex logo Available on 1 provider cohere logo,,0.03,,,,1,
cohere/command-r,cohere,command-r,General / Reasoning,"Command R is a large language model optimized for conversational interaction and long context tasks. It targets the ""scalable"" category of models that balance high performance with strong accuracy, enabling companies to move beyond proof of concept and into production.",128K,0.15,0.6,,,1,128000
mistral/magistral-medium,mistral,magistral-medium,General / Reasoning,"Complex thinking, backed by deep understanding, with transparent reasoning you can follow and verify. The model excels in maintaining high-fidelity reasoning across numerous languages, even when switching between languages mid-task.",128K,2.0,5.0,,,1,128000
cohere/embed-v4.0,cohere,embed-v4.0,Embedding,"A model that allows for text, images, or mixed content to be classified or turned into embeddings. Input Tokens $0.12/M cohere logo Available on 1 provider meta logo",,0.12,,,,1,
meta/llama-3.2-11b,meta,llama-3.2-11b,General / Reasoning,"Instruction-tuned image reasoning generative model (text + images in / text out) optimized for visual recognition, image reasoning, captioning and answering general questions about the image.",128K,0.16,0.16,,,1,128000
cohere/command-r-plus,cohere,command-r-plus,General / Reasoning,"Command R+ is Cohere's newest large language model, optimized for conversational interaction and long-context tasks. It aims at being extremely performant, enabling companies to move beyond proof of concept and into production.",128K,2.5,10.0,,,1,128000
voyage/voyage-3.5-lite,voyage,voyage-3.5-lite,Embedding,Voyage AI's embedding model optimized for latency and cost. Input Tokens $0.02/M voyage logo Available on 1 provider voyage logo,,0.02,,,,1,
voyage/voyage-code-2,voyage,voyage-code-2,Embedding,Voyage AI's embedding model optimized for code retrieval (17% better than alternatives). This is the previous generation of code embeddings models. Input Tokens $0.12/M voyage logo Available on 1 provider voyage logo,,0.12,,,,1,
voyage/voyage-law-2,voyage,voyage-law-2,Embedding,Voyage AI's embedding model optimized for legal retrieval and RAG. Input Tokens $0.12/M voyage logo Available on 1 provider voyage logo,,0.12,,,,1,
voyage/voyage-finance-2,voyage,voyage-finance-2,Embedding,Voyage AI's embedding model optimized for finance retrieval and RAG. Input Tokens $0.12/M voyage logo Available on 1 provider google logo,,0.12,,,,1,
google/text-multilingual-embedding-002,google,text-multilingual-embedding-002,Embedding,Multilingual text embedding model optimized for cross-lingual tasks across many languages. Input Tokens $0.03/M vertex logo Available on 1 provider voyage logo,,0.03,,,,1,
voyage/voyage-3.5,voyage,voyage-3.5,Embedding,Voyage AI's embedding model optimized for general-purpose and multilingual retrieval quality. Input Tokens $0.06/M voyage logo Available on 1 provider voyage logo,,0.06,,,,1,
voyage/voyage-code-3,voyage,voyage-code-3,Embedding,Voyage AI's embedding model optimized for code retrieval. Input Tokens $0.18/M voyage logo Available on 1 provider voyage logo,,0.18,,,,1,
voyage/voyage-3-large,voyage,voyage-3-large,Embedding,Voyage AI's embedding model with the best general-purpose and multilingual retrieval quality. Input Tokens $0.18/M voyage logo Available on 1 provider meta logo,,0.18,,,,1,
